config_id,embedding_dim,heads,layers,drop_rate,num_epochs,batch_size,lr,train_avg_loss,train_perplexity,train_token_accuracy,train_num_samples,train_avg_bleu,train_exact_match_rate,test_avg_loss,test_perplexity,test_token_accuracy,test_num_samples,test_avg_bleu,test_exact_match_rate,number_parameter,cpp_model_size
emb24_h2_l2_d005_ep300_bs4_lr001,24,2,2,0.05,300,4,0.01,0.3152329921722412,1.3705786078457836,0.8920863309352518,105,1.0,1.0,7.6358795166015625,2071.19189782161,0.36989247311827955,27,0.09442183712397235,0.0,36168,514943
emb24_h2_l2_d005_ep300_bs4_lr0005,24,2,2,0.05,300,4,0.005,0.3200533464550972,1.3772012311799808,0.8914868105515588,105,1.0,1.0,7.2439775466918945,1399.650087259438,0.3741935483870968,27,0.10236605571018671,0.037037037037037035,36168,514710
emb24_h2_l2_d005_ep300_bs8_lr001,24,2,2,0.05,300,8,0.01,0.3205600529909134,1.3778992448740695,0.8926858513189448,105,1.0,1.0,7.769766330718994,2367.9179140281267,0.3741935483870968,27,0.0935426263896429,0.037037037037037035,36168,514662
emb24_h2_l2_d005_ep300_bs8_lr0005,24,2,2,0.05,300,8,0.005,0.3253934606909752,1.3845753147809043,0.8920863309352518,105,1.0,1.0,7.3738250732421875,1593.718227851326,0.3913978494623656,27,0.055108887890047586,0.0,36168,514673
emb24_h2_l2_d005_ep500_bs4_lr001,24,2,2,0.05,500,4,0.01,0.3091743588447571,1.362299878830067,0.8908872901678657,105,1.0,1.0,7.961157321929932,2867.3895257446075,0.410752688172043,27,0.06594121545489863,0.0,36168,514873
emb24_h2_l2_d005_ep500_bs4_lr0005,24,2,2,0.05,500,4,0.005,0.3074345886707306,1.3599318506425002,0.8920863309352518,105,1.0,1.0,7.620046615600586,2038.657160834144,0.38924731182795697,27,0.07055557120210743,0.0,36168,514654
emb24_h2_l2_d005_ep500_bs8_lr001,24,2,2,0.05,500,8,0.01,0.3052736073732376,1.356996236393545,0.8926858513189448,105,1.0,1.0,7.629157066345215,2057.3151085890036,0.3849462365591398,27,0.024416681551544736,0.0,36168,514609
emb24_h2_l2_d005_ep500_bs8_lr0005,24,2,2,0.05,500,8,0.005,0.30375901609659195,1.35494249741164,0.8908872901678657,105,1.0,1.0,7.556972503662109,1914.0419776369054,0.35268817204301073,27,0.042217251586053495,0.0,36168,514630
emb24_h4_l1_d001_ep300_bs4_lr001,24,4,1,0.01,300,4,0.01,0.31264686584472656,1.3670386977244104,0.8896882494004796,105,1.0,1.0,7.594582557678223,1987.40005342322,0.3720430107526882,27,0.07913875756307157,0.0,29016,417512
emb24_h4_l1_d001_ep300_bs4_lr0005,24,4,1,0.01,300,4,0.005,0.3029451444745064,1.353840196789882,0.8926858513189448,105,1.0,1.0,7.320634841918945,1511.1630149382556,0.3827956989247312,27,0.05291933370345559,0.0,29016,417792
